index,season,episode,total_lines,andy,angela,charles,clark,creed,darryl,david wallace,deangelo,dwight,erin,gabe,holly,jan,jim,jo,karen,kelly,kevin,meredith,michael,nellie,oscar,other,pam,pete,phyllis,robert california,roy,ryan,stanley,toby
169,9,7,288,9,21,0,4,1,3,6,0,52,17,0,0,25,21,0,0,0,3,4,0,6,20,24,45,8,14,0,0,0,0,5
170,9,8,315,0,52,0,0,3,6,3,0,57,6,0,0,0,29,0,0,0,16,8,0,9,22,31,17,23,12,0,0,0,13,8
171,9,9,287,0,11,0,0,2,17,0,0,59,24,0,0,0,58,0,0,0,13,5,0,11,7,0,32,22,10,0,0,0,5,11
172,9,10,253,0,16,0,0,4,15,0,0,18,26,0,0,0,28,0,0,0,14,22,0,9,10,28,44,7,8,0,0,0,4,0
173,9,11,268,0,13,0,35,3,19,0,0,41,11,0,0,0,18,0,0,0,19,6,0,9,19,40,23,2,6,0,0,0,4,0
174,9,12,274,0,6,0,1,2,21,0,0,42,18,0,0,0,37,0,0,0,10,2,0,24,8,33,47,12,3,0,0,0,1,7
175,9,13,275,0,1,0,32,0,2,9,0,86,2,0,0,0,45,0,0,0,1,5,0,3,2,62,23,0,0,0,0,0,2,0
176,9,14,260,0,15,0,4,1,35,0,0,37,10,0,0,0,30,0,0,0,6,1,0,9,12,39,57,0,1,0,0,0,0,3
177,9,15,260,62,4,0,9,0,3,10,0,32,26,0,0,8,26,0,0,0,6,2,0,7,7,15,28,8,6,0,0,0,1,0
178,9,16,500,83,42,0,9,4,5,16,0,44,33,20,0,0,28,0,0,0,5,7,0,8,8,62,55,41,10,0,0,0,5,15
179,9,17,216,5,8,0,5,3,1,0,0,50,4,0,0,0,6,0,0,0,12,3,0,2,11,75,21,0,8,0,0,0,2,0
180,9,18,316,11,32,0,23,0,12,0,0,37,3,0,0,0,31,0,0,0,9,3,0,4,29,65,42,2,6,0,0,0,5,2
181,9,19,260,31,2,0,36,2,0,0,0,58,10,0,0,0,15,0,0,0,5,2,0,13,7,24,9,2,5,7,0,0,18,14
182,9,20,233,39,16,0,6,1,10,0,0,21,16,0,0,0,17,0,0,0,10,0,0,20,2,38,22,4,0,2,0,0,2,7
183,9,21,382,68,30,0,8,2,11,37,0,54,9,0,0,0,63,0,0,0,13,1,0,5,19,12,30,5,4,0,0,0,4,7
184,9,22,501,44,39,0,5,4,30,0,0,87,22,0,0,0,89,0,0,0,30,9,0,0,28,65,34,4,7,0,0,0,4,0
185,9,24,516,31,23,0,3,8,19,2,0,76,11,0,0,0,73,0,0,12,31,15,2,9,18,82,45,3,17,0,0,15,8,13
